,Case_No,Days_of_Mon,Time_occured(24hr),Areas,Zip_Codes,Crimes,Weapons
6127,220507753,7,1600,Harbor,90744,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
6128,221508230,3,0945,N Hollywood,91601,THEFT OF IDENTITY,
6129,221907947,6,2130,Mission,91343,VEHICLE - STOLEN,
6130,220109807,5,2036,Central,90014,BURGLARY FROM VEHICLE,
6131,221309295,7,1245,Newton,90011,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
6132,221209533,3,0500,77th Street,90003,VEHICLE - STOLEN,
6133,221607082,6,1830,Foothill,91352,VEHICLE - STOLEN,
6134,220507713,7,1900,Harbor,90501,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
6135,220608484,7,1100,Hollywood,90046,THEFT PLAIN - PETTY ($950 & UNDER),
6136,221508232,5,1600,N Hollywood,91601,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
6137,221607102,1,1300,Foothill,91605,THEFT OF IDENTITY,
6138,221707480,7,1520,Devonshire,91324,ATTEMPTED ROBBERY,HAND GUN
6139,221707477,6,2130,Devonshire,91311,VEHICLE - STOLEN,
6140,220707668,6,2320,Wilshire,90036,ROBBERY,HAND GUN
6141,220109866,7,1330,Central,90014,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",MACE/PEPPER SPRAY
6142,221607095,7,1140,Foothill,91331,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6143,221309303,7,0853,Newton,90011,THEFT OF IDENTITY,
6144,220308681,2,1230,Southwest,90018,THEFT PLAIN - PETTY ($950 & UNDER),
6145,221507963,6,2245,N Hollywood,91604,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
6146,221209523,6,0915,77th Street,90044,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6147,220507658,6,2155,Harbor,90502,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
6148,221107540,5,1400,Northeast,90026,BURGLARY,
6149,220109760,6,1650,Central,90017,TRESPASSING,
6150,221607058,5,1445,Foothill,91331,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
6151,220109710,6,0020,Central,90014,BURGLARY FROM VEHICLE,
6152,221408844,6,1524,Pacific,90045,THEFT PLAIN - PETTY ($950 & UNDER),
6153,221707363,5,1800,Devonshire,91326,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
6154,221107572,5,1900,Northeast,90065,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
6155,221808762,2,1230,Southeast,90002,THEFT OF IDENTITY,
6156,221408914,6,0430,Pacific,90034,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
6157,221808753,5,2100,Southeast,90059,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
6158,220407276,5,0648,Hollenbeck,90031,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6159,221907923,5,2130,Mission,91342,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
6160,220407282,5,1630,Hollenbeck,90023,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
6161,221907932,6,0215,Mission,91402,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
6162,221107554,5,1700,Northeast,90065,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6163,220608646,2,1030,Hollywood,90028,THEFT PLAIN - PETTY ($950 & UNDER),
6164,220608410,5,0900,Hollywood,90038,VEHICLE - STOLEN,
6165,221507946,5,1845,N Hollywood,91605,TRESPASSING,
6166,221707421,6,1415,Devonshire,91326,VEHICLE - STOLEN,
6167,220109752,5,1800,Central,90013,THEFT PLAIN - PETTY ($950 & UNDER),
6168,220109735,6,0700,Central,90015,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",PIPE/METAL PIPE
6169,221209368,5,2230,77th Street,90044,VEHICLE - STOLEN,
6170,221309150,6,1200,Newton,90011,THEFT OF IDENTITY,
6171,222008147,6,1410,Olympic,90006,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",UNKNOWN WEAPON/OTHER WEAPON
6172,221007605,2,0850,West Valley,91406,THEFT OF IDENTITY,
6173,220308749,5,1900,Southwest,90089,BIKE - STOLEN,
6174,221607109,5,2030,Foothill,91331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
6175,220507632,6,1500,Harbor,90744,VEHICLE - STOLEN,
6176,221607066,6,1100,Foothill,91331,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6177,221309208,6,1850,Newton,90037,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
6178,220109755,6,1200,Central,90013,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6179,220308780,6,1330,Southwest,90008,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
6180,220308674,5,1950,Southwest,90007,VEHICLE - STOLEN,
6181,220308703,5,1900,Southwest,90037,BURGLARY FROM VEHICLE,
6182,221309132,5,2300,Newton,90037,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6183,221209432,6,1000,77th Street,90044,VEHICLE - STOLEN,
6184,220407291,6,1825,Hollenbeck,90023,THEFT OF IDENTITY,
6185,221209504,6,2245,77th Street,90043,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6186,221907920,6,0149,Mission,91402,TRESPASSING,
6187,221808729,3,1403,Southeast,90044,THEFT OF IDENTITY,
6188,221007614,5,0330,West Valley,91406,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
6189,221309190,5,1700,Newton,90037,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
6190,220608402,6,0045,Hollywood,90068,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
6191,220608392,4,0800,Hollywood,90046,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
6192,220507649,5,1930,Harbor,90744,BURGLARY,
6193,221309178,6,1340,Newton,90011,VEHICLE - STOLEN,
